tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
Page,   1,   0.00,   0.00, 960.00, 540.00,L,B,   0,   0
Line,   1,   0.00,   0.00, 960.00, 462.86,L,B,   0,   0
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
RowL,   1,   0.00,   0.00, 960.00,  77.14,L,B,   0,   0
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY,CntW,CntH,v,a,Ascn,Dscn,nA-D,FnSz,Lead,LnSp, ForegroundColor , BackgroundColor ,B,I,S,M,W,w,FontName
Tabl,  12,  96.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  13, 192.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  14, 192.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  15, 192.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  16, 192.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  17, 192.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  18, 192.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  19, 288.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  20, 288.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  21, 288.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  22, 288.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  23, 288.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  24, 288.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  25, 384.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  26, 384.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  27, 384.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  28, 384.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  29, 384.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  30, 384.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  31, 480.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  32, 480.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  33, 480.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  34, 480.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  35, 480.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  36, 480.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  37, 576.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  38, 576.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  39, 576.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  40, 576.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  41, 576.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  42, 576.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  43, 672.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  44, 672.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  45, 672.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  46, 672.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  47, 672.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  48, 672.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  49, 768.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  50, 768.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  51, 768.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  52, 768.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  53, 768.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  54, 768.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  55, 864.00,   0.00,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  56, 864.00, -77.14,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  57, 864.00,-154.29,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  58, 864.00,-231.43,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  59, 864.00,-308.57,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
Tabl,  60, 864.00,-385.71,  96.00,  77.14,L,B,   0,   0,56.0,73.4,C,C,73.4,19.6,53.8,  70,   0,None,[255 176  10 195],[  8   6   0 195],0,0,1,1,1,c,Lucida Console       
tnik,  i ,    X  ,    Y  ,    W  ,    H  ,x,y,AncX,AncY
HCrs,   1,   0.00,-385.71,  96.00,  77.14,L,B,   0,   0
